,Tense,Modal Type,NP Pattern,Adverb Exists
79,past tense,,"('DT', 'the', 'NN(sg)')",1
80,past tense,,"('DT', 'a', 'NN(sg)')",1
81,base,"['opinion', 'advice']",OTHER,2
82,past participle,,"('DT', 'a', 'NN(sg)')",2
83,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
84,base,,OTHER,2
85,present tense 3rd.sg,,"('DT', 'any', 'NN(sg)')",2
86,present tense 3rd.sg,,OTHER,2
87,base,['possibility'],NNP(proper),1
88,base,,"('DT', 'the', 'NN(sg)')",0
89,base,[],"('DT', 'a', 'JJ', 'NN(sg)')",1
90,base,,"('DT', 'a', 'JJ', 'NN(sg)')",2
91,past tense,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
92,,"['possibility', 'request', 'permission']","('DT', 'a', 'JJ', 'NN(sg)')",0
93,past tense,,OTHER,1
94,past participle,[],OTHER,0
95,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
96,past participle,,OTHER,0
97,present participle,"['ability', 'request', 'suggestion']",OTHER,3
98,past tense,,OTHER JJ,3
99,past participle,"['possibility', 'request', 'permission']",OTHER,0
100,past participle,,"('DT', 'the', 'NN(sg)')",1
101,base,"['possibility', 'request', 'permission']",OTHER,1
102,present participle,,OTHER,1
103,past participle,"['possibility', 'request', 'permission']",OTHER,1
104,present tense non-3rd.sg,"['ability', 'suggestion', 'request']",OTHER,2
105,base,,"('DT', 'the', 'NN(sg)')",0
106,,"['ability', 'request', 'suggestion']",OTHER,2
107,past participle,,"('DT', 'the', 'NN(sg)')",2
108,,,NNP(proper),2
109,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",1
110,past participle,,"('DT', 'the', 'NN(sg)')",3
111,past tense,,NNP(proper),2
112,present participle,,OTHER,2
113,,,OTHER,0
114,past tense,,OTHER JJ,2
115,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
116,present participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",4
117,past participle,"['ability', 'request', 'suggestion']","('DT', 'every', 'JJ', 'NN(sg)')",0
118,base,,"('DT', 'another', 'NN(sg)')",1
119,past participle,"['possibility', 'request', 'permission']",OTHER,1
120,base,"['possibility', 'request', 'permission']",OTHER,0
121,past participle,,OTHER,2
122,base,"['opinion', 'advice']",OTHER,3
123,past participle,,"('DT', 'the', 'NN(sg)')",1
124,base,,OTHER,0
125,base,,OTHER,4
126,present participle,,OTHER,1
127,past tense,"['opinion', 'advice']",OTHER,3
128,base,,"('DT', 'a', 'NN(sg)')",1
129,present participle,"['possibility', 'request', 'permission']",OTHER,0
130,base,,OTHER,0
131,base,"['possibility', 'request', 'permission']",OTHER,1
132,base,,"('DT', 'every', 'NN(sg)')",0
133,base,,NNP(proper),6
134,present participle,,OTHER,0
135,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
136,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,4
137,present tense 3rd.sg,,OTHER,4
138,present participle,,"('DT', 'the', 'NN(sg)')",0
139,present participle,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",3
140,present tense non-3rd.sg,,NNP(proper),1
141,present tense 3rd.sg,,NNP(proper),1
142,base,,OTHER,1
143,base,"['possibility', 'request', 'permission']",OTHER,1
144,present participle,,OTHER,1
145,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
146,base,,OTHER,2
147,past participle,,NNP(proper),6
148,past participle,,"('DT', 'a', 'NN(sg)')",1
149,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
150,base,,"('DT', 'a', 'NN(sg)')",1
151,,,OTHER,4
152,base,,OTHER,1
153,,"['ability', 'suggestion', 'request']",OTHER,2
154,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",2
155,past tense,,NNP(proper),1
156,past participle,,"('DT', 'a', 'NN(sg)')",1
157,past participle,,NNP(proper),1
158,present tense 3rd.sg,"['obligation', 'certainty']",OTHER,2
159,present participle,[],"('DT', 'a', 'NN(sg)')",2
160,past tense,,OTHER,0
161,base,"['ability', 'suggestion', 'request']",NNP(proper),2
162,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",2
163,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",5
164,base,,OTHER,1
165,past tense,,OTHER,1
166,base,"['possibility', 'request', 'permission']","('DT', 'a', 'JJ', 'NN(sg)')",1
167,past participle,['possibility'],"('DT', 'an', 'NN(sg)')",2
168,past participle,,OTHER,2
169,present participle,,"('DT', 'the', 'NN(sg)')",3
170,base,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",1
171,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",4
172,past participle,,OTHER,3
173,base,,OTHER JJ,3
174,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
175,past participle,"['obligation', 'certainty']",OTHER,2
176,future tense,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",5
177,present participle,,OTHER,0
178,present participle,"['obligation', 'certainty']","('DT', 'an', 'NN(sg)')",2
179,,"['possibility', 'request', 'permission']",OTHER,4
180,base,"['possibility', 'request', 'permission']",OTHER,3
181,past participle,,"('DT', 'a', 'NN(sg)')",4
182,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",6
183,past participle,"['ability', 'suggestion', 'request']","('DT', 'that', 'JJ', 'NN(sg)')",3
184,base,,"('DT', 'a', 'NN(sg)')",3
185,past participle,,OTHER,2
186,past tense,,OTHER,4
187,base,,NNP(proper),3
188,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",3
189,present participle,"['opinion', 'advice']",OTHER,1
190,past tense,,OTHER,1
191,past tense,,OTHER,4
192,base,,"('DT', 'an', 'NN(sg)')",2
193,base,,"('DT', 'a', 'NN(sg)')",3
194,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",4
195,present participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",10
196,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",3
197,base,[],"('DT', 'the', 'NN(sg)')",2
198,base,,"('DT', 'an', 'NN(sg)')",4
199,base,,"('DT', 'the', 'NN(sg)')",4
200,present participle,,OTHER,2
201,base,,OTHER,4
202,present participle,,OTHER,0
203,past tense,,NNP(proper),0
204,past participle,,"('DT', 'a', 'NN(sg)')",0
205,present tense 3rd.sg,"['obligation', 'certainty']",NNP(proper),2
206,past tense,"['ability', 'request', 'suggestion']",NNP(proper),3
207,past participle,['possibility'],OTHER,2
208,past participle,,NNP(proper),1
209,past participle,,NNP(proper),0
210,past participle,,OTHER,5
211,past participle,,OTHER,0
212,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER JJ,9
213,past participle,,OTHER,0
214,past participle,"['opinion', 'advice']",OTHER,1
215,present tense 3rd.sg,"['opinion', 'advice']",OTHER,3
216,,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
217,base,"['possibility', 'request', 'permission']",NNP(proper),1
218,,"['ability', 'request', 'suggestion']",OTHER,1
219,,,OTHER JJ,1
220,,"['obligation', 'certainty']",OTHER,5
221,base,"['obligation', 'certainty']",OTHER,2
222,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER,1
223,present participle,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",5
224,base,"['opinion', 'advice']",OTHER,0
225,base,,"('DT', 'the', 'NN(sg)')",1
226,base,"['opinion', 'advice']",OTHER JJ,0
227,past participle,,OTHER,0
228,present tense 3rd.sg,"['opinion', 'advice']",NNP(proper),1
229,base,,OTHER,1
230,base,,OTHER,1
231,base,,OTHER,2
232,base,,OTHER,0
233,base,,OTHER,0
234,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
235,present participle,[],OTHER,0
236,base,"['opinion', 'advice']",OTHER,3
237,base,,"('DT', 'a', 'NN(sg)')",3
238,present tense 3rd.sg,"['opinion', 'advice']",OTHER,1
239,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
240,past tense,,"('DT', 'the', 'NN(sg)')",1
241,present tense 3rd.sg,,OTHER JJ,0
242,base,"['possibility', 'request', 'permission']",OTHER JJ,1
243,base,"['opinion', 'advice']","('DT', 'every', 'NN(sg)')",1
244,present tense non-3rd.sg,,OTHER,2
245,present participle,,NNP(proper),4
246,past participle,,OTHER,0
247,base,,NNP(proper),0
248,past participle,,"('DT', 'the', 'NN(sg)')",2
249,present tense 3rd.sg,,"('DT', 'an', 'NN(sg)')",0
250,,,NNP(proper),0
251,future tense,,NNP(proper),1
252,base,,"('DT', 'a', 'NN(sg)')",0
253,present tense 3rd.sg,,OTHER,0
254,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",1
255,,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",4
256,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
257,past participle,,"('DT', 'a', 'NN(sg)')",3
258,past participle,,"('DT', 'a', 'NN(sg)')",3
259,base,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",3
260,present participle,,"('DT', 'a', 'NN(sg)')",0
261,past participle,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
262,present participle,,"('DT', 'a', 'NN(sg)')",0
263,past participle,,NNP(proper),0
264,past tense,,"('DT', 'a', 'NN(sg)')",0
265,present participle,"['possibility', 'request', 'permission']",OTHER,0
266,present tense 3rd.sg,,OTHER,0
267,base,,OTHER,1
268,past participle,,OTHER,2
269,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",1
270,present tense 3rd.sg,"['opinion', 'advice']",OTHER,2
271,past participle,,"('DT', 'the', 'NN(sg)')",1
272,,,"('DT', 'a', 'NN(sg)')",7
273,past participle,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",3
274,past tense,,"('DT', 'the', 'JJ', 'NN(sg)')",1
275,base,,"('DT', 'a', 'NN(sg)')",2
276,past tense,,"('DT', 'the', 'NN(sg)')",2
277,base,,"('DT', 'a', 'NN(sg)')",0
278,base,,"('DT', 'a', 'NN(sg)')",0
279,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",2
280,,,"('DT', 'the', 'NN(sg)')",2
281,present participle,[],"('DT', 'a', 'NN(sg)')",0
282,present participle,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",1
283,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",0
284,base,"['ability', 'request', 'suggestion']",OTHER,1
285,past participle,,NNP(proper),1
286,past participle,,OTHER,4
287,past participle,,"('DT', 'a', 'NN(sg)')",2
288,present participle,"['possibility', 'request', 'permission']",OTHER,0
289,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
290,base,"['possibility', 'request', 'permission']",OTHER,0
291,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",0
292,present participle,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",0
293,base,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",4
294,base,,"('DT', 'a', 'NN(sg)')",1
295,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",5
296,past participle,,"('DT', 'a', 'NN(sg)')",0
297,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER,8
298,past participle,,"('DT', 'a', 'NN(sg)')",2
299,past tense,,"('DT', 'a', 'NN(sg)')",0
300,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
301,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",2
302,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
303,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",1
304,base,,"('DT', 'the', 'NN(sg)')",1
305,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",0
306,past participle,,"('DT', 'a', 'NN(sg)')",0
307,past participle,"['ability', 'request', 'suggestion']",OTHER,4
308,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
309,present tense 3rd.sg,,"('DT', 'a', 'JJ', 'NN(sg)')",2
310,base,"['obligation', 'certainty']","('DT', 'a', 'JJ', 'NN(sg)')",3
311,past tense,,"('DT', 'the', 'NN(sg)')",0
312,past tense,"['ability', 'request', 'suggestion']","('DT', 'the', 'JJ', 'NN(sg)')",6
313,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",4
314,past tense,,NNP(proper),0
315,base,"['ability', 'suggestion', 'request']","('DT', 'an', 'JJ', 'NN(sg)')",3
316,past tense,,NNP(proper),1
317,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
318,past participle,,OTHER,0
319,present tense 3rd.sg,,OTHER,0
320,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
321,present participle,,NNP(proper),0
322,past tense,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",2
323,present participle,['possibility'],"('DT', 'a', 'NN(sg)')",3
324,past participle,,"('DT', 'the', 'NN(sg)')",9
325,past tense,,OTHER,0
326,past participle,,"('DT', 'a', 'NN(sg)')",0
327,base,,OTHER,2
328,present tense non-3rd.sg,,OTHER,4
329,base,,"('DT', 'the', 'NN(sg)')",0
330,past tense,,NNS(pl),2
331,present participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
332,base,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",3
333,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",1
334,present participle,"['opinion', 'advice']",OTHER,3
335,past participle,,"('DT', 'a', 'NN(sg)')",2
336,present participle,"['ability', 'request', 'suggestion']",NNP(proper),1
337,base,"['possibility', 'request', 'permission']",OTHER,0
338,base,,"('DT', 'a', 'NN(sg)')",5
339,present participle,,"('DT', 'the', 'NN(sg)')",2
340,base,,OTHER,1
341,base,,"('DT', 'a', 'NN(sg)')",4
342,present participle,,"('DT', 'a', 'NN(sg)')",1
343,past tense,"['possibility', 'request', 'permission']","('DT', 'an', 'JJ', 'NN(sg)')",1
344,base,"['ability', 'suggestion', 'request']",NNP(proper),2
345,present tense 3rd.sg,,"('DT', 'an', 'JJ', 'NN(sg)')",1
346,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
347,past tense,,"('DT', 'the', 'NN(sg)')",2
348,base,"['possibility', 'request', 'permission']","('DT', 'an', 'JJ', 'NN(sg)')",1
349,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",1
350,present participle,,OTHER JJ,0
351,present tense non-3rd.sg,,OTHER JJ,2
352,past participle,,NNP(proper),1
353,present participle,,"('DT', 'an', 'NN(sg)')",1
354,past tense,"['ability', 'request', 'suggestion']","('DT', 'an', 'NN(sg)')",2
355,present tense 3rd.sg,"['opinion', 'advice']",OTHER,4
356,base,,"('DT', 'the', 'NN(sg)')",5
357,present tense 3rd.sg,[],"('DT', 'every', 'NN(sg)')",5
358,past participle,"['obligation', 'certainty']",OTHER,1
359,base,,"('DT', 'the', 'NN(sg)')",4
360,present participle,,OTHER,3
361,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",1
362,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'each', 'NN(sg)')",1
363,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",3
364,present participle,,OTHER,1
365,base,,OTHER,0
366,base,"['ability', 'suggestion', 'request']","('DT', 'any', 'NN(sg)')",3
367,past participle,"['obligation', 'certainty']","('DT', 'any', 'NN(sg)')",1
368,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
369,,"['possibility', 'request', 'permission']",OTHER,0
370,past participle,,"('DT', 'a', 'NN(sg)')",4
371,past participle,"['obligation', 'certainty']",OTHER,2
372,past participle,"['obligation', 'certainty']",OTHER,1
373,base,,"('DT', 'the', 'NN(sg)')",0
374,base,,"('DT', 'an', 'JJ', 'NN(sg)')",2
375,present tense 3rd.sg,,NNP(proper),0
376,,"['possibility', 'request', 'permission']",OTHER,5
377,past participle,,"('DT', 'the', 'NN(sg)')",0
378,present participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
379,base,"['opinion', 'advice']","('DT', 'a', 'JJ', 'NN(sg)')",1
380,past tense,,"('DT', 'the', 'NN(sg)')",5
381,present tense non-3rd.sg,,OTHER,0
382,base,"['ability', 'suggestion', 'request']",OTHER,5
383,past participle,"['opinion', 'advice']",OTHER,2
384,base,,"('DT', 'the', 'NN(sg)')",4
385,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
386,past participle,,OTHER,4
387,past participle,,OTHER,2
388,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
389,past participle,,"('DT', 'the', 'NN(sg)')",1
390,present tense non-3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
391,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",1
392,past participle,,OTHER,0
393,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
394,base,"['ability', 'suggestion', 'request']",OTHER,1
395,base,"['obligation', 'certainty']",OTHER,1
396,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'JJ', 'NN(sg)')",1
397,present participle,"['ability', 'request', 'suggestion']",OTHER,1
398,present tense non-3rd.sg,,OTHER JJ,3
399,past participle,"['possibility', 'request', 'permission']",OTHER,1
400,present participle,,"('DT', 'an', 'NN(sg)')",2
401,present participle,"['possibility', 'request', 'permission']","('DT', 'a', 'JJ', 'NN(sg)')",0
402,base,"['opinion', 'advice']",OTHER,4
403,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
404,past tense,,OTHER,1
405,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
406,base,,NNP(proper),0
407,base,,NNP(proper),1
408,past participle,,OTHER JJ,0
409,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",4
410,past tense,,"('DT', 'the', 'NN(sg)')",1
411,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",3
412,past participle,,NNP(proper),1
413,past tense,"['possibility', 'request', 'permission']",OTHER,1
414,,,"('DT', 'the', 'NN(sg)')",4
415,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",2
416,present tense 3rd.sg,,OTHER,1
417,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,2
418,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
419,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",3
420,past tense,,"('DT', 'the', 'NN(sg)')",3
421,base,"['opinion', 'advice']","('DT', 'every', 'NN(sg)')",3
422,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",3
423,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'a', 'NN(sg)')",3
424,present participle,,OTHER,3
425,base,['possibility'],OTHER,0
426,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",4
427,past tense,,"('DT', 'the', 'NN(sg)')",0
428,present tense non-3rd.sg,,OTHER,0
429,base,,OTHER,2
430,base,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",2
431,base,,NNP(proper),1
432,past participle,,"('DT', 'the', 'NN(sg)')",0
433,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",4
434,present participle,,OTHER,1
435,past participle,,OTHER,1
436,base,,"('DT', 'the', 'NN(sg)')",1
437,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",2
438,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",5
439,past participle,,"('DT', 'the', 'NN(sg)')",3
440,present tense 3rd.sg,['possibility'],"('DT', 'the', 'NN(sg)')",2
441,past participle,,OTHER,2
442,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",1
443,base,,"('DT', 'the', 'NN(sg)')",0
444,present participle,,"('DT', 'the', 'NN(sg)')",3
445,present participle,,"('DT', 'the', 'JJ', 'NN(sg)')",4
446,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
447,present participle,,"('DT', 'the', 'JJ', 'NN(sg)')",1
448,base,,OTHER,1
449,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,2
450,present participle,,"('DT', 'the', 'NN(sg)')",2
451,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,7
452,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",2
453,,"['possibility', 'request', 'permission']",OTHER,6
454,base,,OTHER JJ,1
455,past participle,,NNP(proper),1
456,present tense 3rd.sg,,NNP(proper),2
457,base,,NNP(proper),1
458,past participle,,OTHER,3
459,present participle,"['ability', 'suggestion', 'request']",OTHER,2
460,present tense 3rd.sg,,OTHER,2
461,base,,NNP(proper),0
462,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
463,present tense non-3rd.sg,"['ability', 'suggestion', 'request']",OTHER,4
464,past participle,,NNP(proper),1
465,base,"['possibility', 'request', 'permission']",OTHER,1
466,base,,NNP(proper),3
467,base,,"('DT', 'a', 'NN(sg)')",1
468,past participle,,"('DT', 'a', 'JJ', 'NN(sg)')",1
469,past participle,"['opinion', 'advice']",OTHER,2
470,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",0
471,base,,NNP(proper),0
472,present participle,"['ability', 'request', 'suggestion']","('DT', 'another', 'NN(sg)')",5
473,base,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",4
474,base,,OTHER,1
475,past tense,,OTHER,1
476,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
477,present participle,,"('DT', 'the', 'NN(sg)')",3
478,base,"['ability', 'suggestion', 'request']","('DT', 'an', 'JJ', 'NN(sg)')",2
479,base,,NNP(proper),2
480,base,,OTHER,2
481,past tense,,NNP(proper),1
482,base,,"('DT', 'a', 'NN(sg)')",3
483,base,"['obligation', 'certainty']",NNP(proper),2
484,past participle,,NNP(proper),1
485,base,"['obligation', 'certainty']","('DT', 'each', 'NN(sg)')",0
486,base,"['opinion', 'advice']",OTHER,0
487,,,"('DT', 'each', 'NN(sg)')",1
488,base,,OTHER,0
489,present participle,,"('DT', 'the', 'NN(sg)')",0
490,past tense,,OTHER,3
491,present participle,,NNP(proper),1
492,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,3
493,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
494,present tense non-3rd.sg,,OTHER JJ,4
495,past participle,,OTHER,0
496,past tense,,OTHER,1
497,present participle,,OTHER,1
498,present tense 3rd.sg,,OTHER,1
499,base,"['obligation', 'certainty']",OTHER,2
500,present participle,"['ability', 'suggestion', 'request']",NNP(proper),8
501,,"['ability', 'suggestion', 'request']",OTHER,8
502,base,"['ability', 'request', 'suggestion']","('DT', 'even', 'JJ', 'NN(sg)')",5
503,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
