Data ID,Sentences,Turk Label
CA-TGA-00001116,"Subsequently, the same provisions have been construed to procure the release of a deputy United States marshal from State custody for killing a man while protecting a Justice of the Supreme Court under a Presidential order which was regarded as a law of the United States; the release of an election official held under State authority for perjury on the ground that jurisdiction to punish a false witness belonged to the federal courts in this instance; and the release of <a collector of internal revenue> held in Kentucky for <his> refusal to file copies of <his> official papers with a State court.",0
CA-TGA-00000402,"Before starting to prepare a meal <the Scout> should not only have <her> menu in mind, but should have an idea how long it will take to prepare each dish so that everything will be ready to serve at the same time with all the hot dishes very hot and all the cold dishes very cold.",1
CA-TGA-00001157,"The bees had now dwindled away to less than half their original number, and <the new queen> had wings so imperfect that <she> was unable to fly.",0
CA-TGA-00000893,"It will be observed that this case did not go on any special custom, either as to common carriers or shipmasters, but that all the arguments and the opinion of the court assumed that, if the case was to be governed by the common law, and not by the milder provisions of the civil law relied on for the defence, and if <the defendant> could be regarded as a bailee, and not merely a servant of the owners, then the general law of bailment would apply, and <the defendant> would be charged, as in Southcote's Case, by <his> general acceptance.",1
CA-TGA-00001100,"So, in the case of a barrel falling from a warehouse window, it must be found that <the defendant> or <his> servants were in charge of it, before any question of standard can arise.",0
CA-TGA-00000687,"If <the maker of such a note> refuses to pay on the expiration of time stated, <he> is liable for the amount without any notification.",1
CA-TGA-00000447,"By breathing a little loud <the other person> will catch your time, so that it is not necessary for you to instruct <him> in the science or theory of Rhythmic Breathing.",1
CA-TGA-00000834,"It has been the aim to give as wide a selection as possible, in order that <the boy scout> might not fail to find in the local public library, some book on any subject in which <he> may have particular interest.",0
CA-TGA-00000712,"If this fails, pull the upper lid over the lower two or three times, close the nostril on the opposite side and have <the patient> blow <his> nose hard.",1
CA-TGA-00001143,<The administrator> must account for every item of property that comes into <his> possession.,0
CA-TGA-00001283,"The order and the statute which authorized it were held unconstitutional in a notable opinion by Justice Bradley, as follows: Breaking into a house and opening boxes and drawers are circumstances of aggravation; but any forcible and compulsory extortion of <a man 's> own testimony or of <his> private papers to be used as evidence to convict <him> of crime or to forfeit <his> goods, is forbidden In this regard the Fourth and Fifth Amendments run almost into each other.",0
CA-TGA-00000626,"If asked how much will such contrivances help <the careless bee man>, I answer, not one iota; nay, they will positively furnish <him> greater facilities for destroying <his> bees.",0
CA-TGA-00000747,"In due course it became the accepted doctrine that that part of the law which supplies <one party> to a contract with a remedy if <the other party> does not live up to <his> agreement, as authoritatively interpreted, entered into the obligation of contracts in the constitutional sense of this term, and so might not be altered to the material weakening of existing contracts.",0
CA-TGA-00001313,"The power of influencing <a person>, in the sense in which <it> is here used, must imply a power of conferring a benefit upon <him>.",1
CA-TGA-00000769,In severe shock <the person> is completely unconscious or <he> may be only slightly confused and feel weak and uncertain of what has happened.,1
CA-TGA-00000935,"<Living> in the open in this way, and making friends of the trees, the streams, the mountains, and the stars, gives a scout a great deal of confidence and makes <him> love the natural life around <him>.",0
CA-TGA-00001162,"<The boy who is the deer for the first hunt> takes the dummy under <his> arm and runs off, getting ten minutes' start, or until <he> comes back and shouts ready",0
CA-TGA-00001250,"The law may, therefore, throw on <the actor> the peril, not only of the consequences foreseen by <him>, but also of consequences which, although not predicted by common experience, the legislator apprehends.",0
CA-TGA-00000373,"As a further suggestion to <the student>, we would refer <him> to Lesson II of this work, to the report of the experiments with Mr Smith and Mr Blackburn.",1
CA-TGA-00001304,The personal warranty bound <only the warrantor> and <his> heirs.,1
CA-TGA-00000910,"Justice Murphy in a solitary dissent stated: But the act of providing shelter was of the type that might naturally arise out of <petitioner 's> relationship to <his> son, as the Court recognizes.",0
CA-TGA-00001554,"While I am certain that more money can be made by a careful and experienced bee keeper in a good situation, from a given sum invested in an Apiary, than from the same money invested in any other branch of rural economy, I am equally certain that there is none in which a careless or inexperienced person would be more sure to find his outlay result in an almost entire loss.",1
CA-TGA-00000569,"How little Lord Holt meant to adopt the modern view, that delivery, being a detriment to <the owner>, was a consideration, may be further seen by examining the cases put and agreed to by <him> from the Year Books.",1
CA-TGA-00000396,Banks have facilities for the safe guarding of money which <the ordinary business man> could not provide for <himself>.,0
CA-TGA-00000868,It means the absence of probable cause in the facts known to <the defendant> when <he> instituted the suit.,1
CA-TGA-00000280,"A pardon reaches both the punishment prescribed for the offence and the guilt of <the offender>; and when the pardon is full, it releases the punishment and blots out of existence the guilt, so that in the eye of the law <the offender> is as innocent as if <he> had never committed the offense.",1
CA-TGA-00000589,"I confess that I find it difficult to repress a smile, when <the owner of a few hives>, in a district where as many hundreds might be made to prosper, gravely imputes <his> ill success, to the fact that too many bees are kept in <his> vicinity",1
CA-TGA-00001319,"<The President> shall, at stated Times, receive for <his> Services, a Compensation, which shall neither be encreased nor diminished during the Period for which <he> shall have been elected, and <he> shall not receive within that Period any other Emolument from the United States, or any of them.",0
CA-TGA-00001243,"<The king of Great Britain>, on <his> part, has an absolute negative upon the acts of the two houses of Parliament.",0
CA-TGA-00000905,<Justice Holmes> presented a dissenting opinion for <himself> and Justice Brandeis which contains a curious note of fatalism.,0
CA-TGA-00000678,"If the first trial of a process is not a success, <the Scout> should have patience to try again and again until <her> result is satisfactory.",1
CA-TGA-00000461,"<Coke>, in <his> Commentary on Littleton a, takes a distinction between a warranty, which binds the party to yield lands in recompense, and a covenant annexed to the land, which is to yield but damages.",0
CA-TGA-00001286,"<The owner of the cask> has given up a present control over it, which <he> has a right to keep, and <he> has got in return, not a performance for which a delivery was necessary, but a mere promise of performance.",1
CA-TGA-00000499,"' Even interstate business must pay its way ,' and the bare fact that <one> is carrying on interstate commerce does not relieve <him> from many forms of State taxation which add to the cost of <his> business.",1
CA-TGA-00001139,"That was trespass for assault and battery, and it appeared that <the defendant>, while trying to separate two fighting dogs, had raised <his> stick over <his> shoulder in the act of striking, and had accidentally hit [the plaintiff] in the eye, inflicting upon [him] a severe injury.",0
CA-TGA-00001511,"What the advocates of the maxim meant was merely that <a person> ought not to be put on trial and compelled to answer questions to <his> detriment unless <he> had first been properly accused, i.e., by the grand jury.",1
CA-TGA-00000538,<Have> satisfactorily passed the requirements to receive a license to operate an automobile in the community in which <he> lives.,1
CA-TGA-00000023,"Consistently with this view, federal courts more recently have declared that when local party authorities, acting pursuant to regulations prescribed by a party's State executive committee, refused to permit <a Negro>, on account of <his> race, to vote in a primary to select candidates for the office of United States Senator, they deprived <him> of a right secured to <him> by the Constitution and laws, in violation of this amendment.",1
CA-TGA-00000762,In McLaurin v. Oklahoma State Regents the Court held that enforced segregation of <a Negro student> admitted to a State university was invalid because it handicapped <him> in the pursuit of effective graduate instruction.,1
CA-TGA-00001376,"<The swimmer> throws both hands above <his> head which forces both low in the water and then turns the leverage of <his> arms against the other's thumbs, breaking the hold easily.",1
CA-TGA-00001473,"Thus, suits brought against State officials acting either in excess of their statutory authority or in pursuance of an unconstitutional statute are suits against <the officer> in <his> individual capacity and therefore are not prohibited by the Eleventh Amendment; and suits against an officer for the commission of a common law tort alleged to be justified by a statute or administrative order of the State belong to the same category.",0
CA-TGA-00000555,"Hence I say that it is important to show that a far more developed, more rational, and mightier body of law than the Roman, gives no sanction to either premise or conclusion as held by <Kant> and <his> successors.",0
CA-TGA-00000691,"If the person to receive the money is an entire stranger in the place to which the money is sent, <the sender> knows <it>, and <he> provides for the situation by signing, on the reverse of the application, an order to the distant operator to pay the money to the person named within, without further identification.",1
CA-TGA-00000277,<A man 's> death had ceased to be the private affair of <his> friends as in the time of the barbarian folk laws.,0
CA-TGA-00001549,"Where no local council has been formed, application for badges should be sent direct to Headquarters, signed by <the registered scout master of the troop>, giving <his> official number.",1
CA-TGA-00000728,"If, on the contrary, <the queen bee> had been compelled, solitary and alone, to lay the foundations of a new commonwealth, the honey harvest would have disappeared before <she> could have become the parent of a numerous family.",0
CA-TGA-00000382,"As <only one bee> can enter at a time, <he> is sure to be overhauled, if <he> attempts ever so slyly to slip in: <his> credentials are roughly demanded, and as <he> can produce none, <he> is at once delivered over to the executioners.",1
CA-TGA-00000926,"Let us turn to one of the old books of the Scotch law, where the old principle still appears in full force and is stated with its reasons as then understood, Gif ane wylde or head strang horse, carries <ane man> against <his> will over an craig, or heuch, or to the water, and the man happin to drowne, the horse sall perteine to the king as escheit.",0
CA-TGA-00000584,"<Huber>, in one of <his> experiments, found twenty four in one hive, and even a larger number has sometimes been reared by a single colony.",0
CA-TGA-00000421,"But in a republic, where <every magistrate> ought to be personally responsible for <his> behavior in office the reason which in the British Constitution dictates the propriety of a council, not only ceases to apply, but turns against the institution.",1
CA-TGA-00000573,"<HOW THE PRESIDENT>'S OWN POWERS ARE EXERCISED Whereas <the British monarch> is constitutionally under the necessity of acting always through agents if <his> acts are to receive legal recognition, <the President> is presumed to exercise certain of <his> constitutional powers personally.",0
CA-TGA-00000927,"LET YOUR WIFE KNOW It is usually wise for <a woman, married or single>, to keep <her> real estate and <her> money, if <she> have any, in <her> own name.",0
CA-TGA-00000310,"About hours must elapse before it will be safe to introduce <a strange mother> into a queenless hive; and even then, if <she> is not fertile, <she> will run a great risk of being destroyed.",0
CA-TGA-00000608,"If <a governor of New York>, therefore, should be at the head of any such conspiracy, until the design had been ripened into actual hostility <he> could insure <his> accomplices and adherents an entire impunity.",1
CA-TGA-00000126,"THE PRESIDENT AS LAW INTERPRETER The power accruing to <the President> from <his> function of law interpretation preparatory to law enforcement is daily illustrated in relation to such statutes as the Anti Trust Acts, the Taft Hartley Act, the Internal Security Act, and many lesser statutes.",0
CA-TGA-00001040,"Other statutes clothed him with power to determine priority in car service, to license trade with <the enemy> and <his> allies, and to take over and operate the rail and water transportation system, and the telephonic and telegraphic communication systems, of the country.",0
CA-TGA-00000557,"Hence it was said to be continued by the inheritance, and when <the heir> assumed it <he> had <his> action in respect of injuries previously committed.",0
CA-TGA-00001373,"<The successful farmer> must be a skilled laborer, no matter the amount of <his> manual work.",0
CA-TGA-00000706,"If there is no patrol near you, get <some man> interested enough to start one by giving <him> all the information.",1
CA-TGA-00000826,It does not hold that <a man always speaks at <his> peril>.,0
CA-TGA-00000777,"In such cases <the defendant 's> body is file passive instrument of an external force, and the bodily motion relied on by the plaintiff is not <his> act at all.",1
CA-TGA-00000259,<A debtor 's> sureties shall not be <distrained> upon so long as <the debtor <himself>> can discharge <his> debt.,1
CA-TGA-00001357,"<The scout> should be no less loyal to <his> parents, home, and country.",1
CA-TGA-00001369,The State's counsel contended that enforcement of the acts brought about an immediate paralysis of all the authority and power of the State government by military force; which was divesting the State of her legally and constitutionally established and guaranteed existence as a body politic and a member of the Union.,0
CA-TGA-00000615,"If <a President> shall not have been chosen before the time fixed for the beginning of <his> term, or if <the President elect> shall have failed to qualify, then the Vice President elect shall act as President until a President shall have qualified; and the Congress may by law provide for the case wherein neither a President elect nor a Vice President elect shall have qualified, declaring who shall then act as President, or the manner in which one who is to act shall be selected, and such person shall act accordingly until a President or Vice President shall have qualified.",1
CA-TGA-00000764,"In numerous other cases, the recognition was given by <the Executive> solely on <his> own responsibility.",0
CA-TGA-00000882,It was alleged that <the defendant> performed <his> cure so negligently that the horse died.,0
CA-TGA-00001584,<Her> dramatic success only serves to emphasize <his> decline.,0
CA-TGA-00000071,"On the second argument, it was again maintained for the plaintiff that <the defendant> was liable at the common law on the general bailment, citing Southcote's Case, and also that, by the Roman and maritime law, <he> was liable as a public carrier and master of a ship.",1
CA-TGA-00000170,"But <a witness> called to testify before a federal grand jury as to <his> relations with the Communist Party cannot, in view of existing legislation touching the subject, be compelled to answer.",1
CA-TGA-00000629,"If by the lack of concentration of the Transmitter, you fail to feel the heavy feeling when you pick up the right card, the shake of <the head> will be apt to arouse <him> to exert <his> Will more actively, and you will receive the hold on impulse immediately.",1
CA-TGA-00000807,"In United States v. Smith, the Court held that the Senate's attempt to reconsider its confirmation of a person nominated by <the President> as Chairman of the Federal Power Commission was not warranted by its rules, and did not deprive the appointee of <his> title to the office.",0
CA-TGA-00000433,"But our Supreme Court has long recognized that <a person> may bind a ship, when <he> could not bind the owners personally, because <he> was not the agent.",1
CA-TGA-00000651,"If possible put <the patient> flat on <his> back, with the head slightly lower than the rest of the body.",1
CA-TGA-00000213,"<Inasmuch> as no injury to substantial rights of [the defendant] was deemed to have been inflicted by <his> occasional absence during a trial, no denial of due process was declared to have resulted from the acceptance by the State court of [the defendant 's] waiver of [his] right to be present.",1
CA-TGA-00000842,"It is by showing that <the defendant> knew the statement which <he> made was false, or that <his> untrue statements were grossly in excess of what the occasion required.",0
CA-TGA-00001328,"The principle of our own law, that taking <a man 's> body on execution satisfies the debt, although <he> is not detained an hour, seems to be explained in that way.",0
CA-TGA-00000474,"Did you ever watch sticklebacks build their barrel like nest, or <the Paradise> fish <his> floating nest, and the father fish take all the care of the young?",0
CA-TGA-00001515,"<Whatever> is left after paying the preferred stock interest is divided up equally among the shares of common stock, each getting according to <his> holdings.",1
CA-TGA-00000301,"<A State> cannot denationalize a foreign subject who has not complied with federal naturalization law and constitute <him> a citizen of the United States, or of <the State>, so as to deprive the federal courts of jurisdiction over a controversy between <him> and a citizen of <a State>.",1
CA-TGA-00000171,"In Crutcher v. Kentucky a like result was reached, without assistance from an act of Congress, with respect to a Kentucky statute which provided that <the agent of an express company> not incorporated by the laws of that State should not carry on business there without first obtaining a license from the State, and that, preliminary thereto, <he> must satisfy the auditor of the State that the company <he> represented was possessed of an actual capital of at least",0
CA-TGA-00000841,"It is because each of those terms goes to the very root and essence of the contract, because to compel <the buyer> to take something answering to one, but not to the other requirement, would be holding <him> to do a substantially different thing from what <he> promised, and because a promise to take one and the same thing answering to both requirements is therefore contradictory in a substantial matter.",1
CA-TGA-00000108,"THE LOGAN ACT When in a Philadelphia Quaker named Logan went to <Paris> on <his> own to undertake a negotiation with the French Government with a view to averting war between France and the United States <his> enterprise stimulated Congress to pass An Act to Prevent Usurpation of Executive Functions, which, more honored in the breach than the observance, still survives on the statute books.",0
CA-TGA-00001018,"Once a subject always a subject, said Great Britain, but our answer in was as it is now: any foreigner after five years' residence within our territory, who has complied with our naturalization laws and taken the oath of allegiance to our flag, becomes <one of our citizens> as completely as if <he> were native born.",1
CA-TGA-00000386,"As stated by Justice Jackson, when the Court refused to review an order of the Civil Aeronautics Board, which in effect was a mere recommendation to <the President> for <his> final action, To revise or review an administrative decision which has only the force of a recommendation to <the President> would be to render an advisory opinion in its most obnoxious form advice that <the President> has not asked, tendered at the demand of a private litigant, on a subject concededly within <the President 's> exclusive, ultimate control.",0
CA-TGA-00000101,"For the same reason, <a State> may not prevent a citizen from concluding with a foreign life insurance company at <its> home office a policy loan agreement whereby the policy of <his> life is pledged as collateral security for a cash loan to become due upon default in payment of premiums, in which case the entire policy reserve might be applied to discharge the indebtedness.",1
CA-TGA-00000947,MEAT The best way to learn about cuts of meat is to go often to market and talk to <the butcher> whenever <he> has a minute to spare.,0
CA-TGA-00000724,"If, for lack of means, <the debtor> is unable to discharge <his> debt, <<his> sureties> shall be answerable for <it>.",1
CA-TGA-00001444,This is the progress of ideas as shown us by history; and this is what is meant by saying that the characteristic feature which justifies agency as a title of the law is the absorption pro hac vice of <the agent 's> legal individuality in that of <his> principal.,0
CA-TGA-00000187,The Burr Trial Not long afterward the Chief Justice went to Richmond to preside over the trial of <Burr <himself>>.,0
CA-TGA-00000925,"Let <the boy remember> also that in addition to courage, unselfishness, and fair dealing, <he> must have efficiency, <he> must have knowledge, <he> must cultivate a sound body and a good mind, and train <himself> so that <he> can act with quick decision in any crisis that may arise.",0
CA-TGA-00000531,"Furthermore, the Supreme Court will, in the exercise of a sound discretion, issue a writ of mandamus to compel a federal court to remand to a State court a prosecution of a federal officer removed to it, when it appears that <the officer in question, in seeking removal ,> failed to make a candid, specific, and positive explanation of <his> relation to the transaction giving rise to the crime for which <he> was indicted.",0
CA-TGA-00001360,"<The secretary of state> is the representative of our government through whose office the great work of the foreign service is directly carried on, and upon <him> devolves therefore the great affairs of state relationships with other countries.",1
CA-TGA-00000237,"Treatment Send for <a doctor> at once, and if it will be possible for <him> to arrive soon, make <the patient> as comfortable as possible and wait for <him>.",1
CA-TGA-00000814,"Indeed, were it otherwise, the action of the Court in disallowing <President Truman 's> seizure order would have been of very questionable validity, inasmuch as <the President <himself>> conceded that Congress could do so.",0
CA-TGA-00000806,"In two or three days after giving them the first piece of comb, I give them another, if <their queen> is nearly mature, and I now let them alone until <she> ought to be depositing eggs in the hive.",0
CA-TGA-00000897,"It would seem to follow that whenever <the President> so acts on <his> own initiative <he> should at once report <his> action to Congress, and thenceforth bring the full powers of <his> office to the support of the desires of the Houses once these are clearly indicated.",0
CA-TGA-00001349,The right which <the seller> has to stop the goods <he> has shipped any time before they reach <the buyer>.,0
CA-TGA-00000612,"If a pack mule threw off <his> burden upon a passer by because <he> had been improperly overloaded, or a dog which might have been restrained escaped from <his> master and bit any one, the old noxal action, as it was called, gave way to an action under the new law to enforce a general personal liability.",1
CA-TGA-00000945,Marching Against <the Iroquois Everett T. Tomlinson Marion> and <His> Men John De Morgan David McKay Master of the Strong Hearts E. S. Brooks Off <the Rocks Grenfell S. S. Tirnes> On the Indian Trail Egerton R. Young Revell Co. On the Old Kearsarge Cyrus Townsend Brady Scribners On General Thomas's Staff Byron A. Dunn McClurg Paul Revere John De Morgan David McKay Peggy Owen Lucy Foster Madison Penn Pub.,0
CA-TGA-00001071,"s reign the remedy was extended to the devisee, who, as has been remarked above, seemed more akin to <the heir> than a grantee, and was more easily likened to <him>.",1
CA-TGA-00001414,"There is, therefore, no need to go back further than to the early Norman period, after the appointment of executors had become common, and <the heir> was more nearly what <he> is now.",0
CA-TGA-00001539,"When <the patient> begins to recover a little, however, and as soon as <he> can swallow, give <him> hot tea or coffee, or a half teaspoonful of aromatic spirits of ammonia in a quarter glass of water.",1
CA-TGA-00000877,"It should enable <an Apiarian who lives in the neighborhood of human pilferers>, to lock up the precious contents of <his> hives, in some cheap, simple and convenient way.",1
CA-TGA-00001268,<The merchant> sends you an itemized invoice of the goods you ordered and <he> has shipped.,0
CA-TGA-00001486,"To save lives, <the scout> must know first how to swim, to care for <himself>, and then to learn to carry another and to break the clutch, the death grip, which we read so much about in the newspaper accounts of drowning accidents.",1
CA-TGA-00001015,"On the principle of <Kant>, it is not enough that <he> has the custody of a thing.",0
CA-TGA-00000384,"As soon as the bees begin to build, they take possession of the lower hive, through which they go in and out, and <the queen> descends with them, in order to lay <her> eggs in the lower combs.",1
CA-TGA-00000192,"There, by a five to four majority, the Court held that the privilege against self incrimination does not extend to books and records which <an individual> is required to keep to evidence <his> compliance with lawful regulations.",1
CA-TGA-00001449,"This purchase is spoken of in history as <Seward's Folly>, because the transaction, made while <he> was secretary of state, was not generally considered a good bargain.",0
CA-TGA-00001314,"<The present owner> was allowed to vouch directly those who otherwise would have been indirectly bound to defend <his> title, but no others.",1
CA-TGA-00000900,Its policy is that the organization or institution with which <the boy scout> is connected shall give definite attention to <his> religious life.,1
CA-TGA-00001478,"To avoid a possible misconception, it may be observed that, of course, this question does not necessarily and under all circumstances decide that of liability; <a plaintiff> may have been on the wrong side of the road, as <he> may have been negligent, and yet the conduct of the defendant may have been unjustifiable, and a ground of liability.",1
CA-TGA-00000233,See his words in South Carolina State Highway Dept.,0
CA-TGA-00000898,"It would, however, be arrant dogmatism, quite outside the scope of our authority in passing on the powers of a State, for us to deny that the Illinois legislature may warrantably believe that <a man 's> job and <his> educational opportunities and the dignity accorded <him> may depend as much on the reputation of the racial and religious group to which <he> willy nilly belongs, as on <his> own merits.",0
CA-TGA-00000957,"Most frequently applied examples of these rules include the following: the rule that a marriage which is good in the country where performed lex loci is good elsewhere; likewise the rule that contracts are to be interpreted in accordance with the laws of the country where entered into lex loci contractus unless the parties clearly intended otherwise; also the rule that immovables may be disposed of only in accordance with the law of the country where situated lex rei sitae; also the converse rule that chattels adhere to the person of <their owner> and hence are disposable by <him>, even when located elsewhere, in accordance with the law of <his> domicile lex domicilii; also the rule that regardless of where the cause arose, the courts of any country where personal service can be got upon the defendant will take jurisdiction of certain types of personal actions, hence termed transitory, and accord such remedy as the lex fori affords.",0
CA-TGA-00001176,"The commentator Godefroi tersely adds that there are two such conditions, slavery and freedom; and his antithesis is as old as Cicero.",1
CA-TGA-00001127,"Suppose that <a defendant> were allowed to testify that, before acting, <he> considered carefully what would be the conduct of a prudent man under the circumstances, and, having formed the best judgment <he> could, acted accordingly.",1
CA-TGA-00000136,"Said Justice Reed, in his concurring opinion of the case: The relatively new technique of temporary taking by eminent domain is a most useful administrative device: many properties, such as laundries, or coal mines, or railroads, may be subjected to public operation only for a short time to meet war or emergency needs, and can then be returned to their owners.",0
CA-TGA-00001120,Such a practice is denounced as being almost as cruel and silly as to kill <a hen> for the sake of obtaining <her> feathers or a few of <her> eggs.,0
CA-TGA-00001413,"There is that withholdeth from good objects, more than is meet, and it tendeth to poverty: yes, to poverty of Christian virtue and manliness, and of those treasures which we are all entreated by <God <himself>>, to lay up in the store house of Heaven.",0
CA-TGA-00000480,"Don't wait until <he> arrives, however, to do something for <the injured person>.",1
CA-TGA-00000344,"An application for an injunction to forbid <President Johnson> to enforce the Reconstruction Acts, on the ground of their unconstitutionality, was answered by Attorney General Stanbery as follows: It is not upon any peculiar immunity that the individual has who happens to be President; upon any idea that <he> cannot do wrong; upon any idea that there is any particular sanctity belonging to <him> as an individual, as is the case with one who has royal blood in <his> veins; but it is on account of the office that <he> holds that <I> say <the President of the United States> is above the process of any court or the jurisdiction of any court to bring <him> to account as President.",0
CA-TGA-00000363,"Another consideration affecting the argument that the law as to trespasses upon property establishes a general principle, is that <the defendant 's> knowledge or ignorance of <the plaintiff 's> title is likely to lie wholly in <his> own breast, and therefore hardly admits of satisfactory proof.",1
CA-TGA-00000032,An owner aggrieved by discrimination is entitled to have his assessment reduced to the common level.,1
CA-TGA-00000506,<Every good citizen> should feel that <his> public duty is an important private business.,1
CA-TGA-00000054,"The proceeding may not be used to secure an adjudication of a question which, if determined in <the prisoner 's> favor, could not result in <his> immediate release.",0
CA-TGA-00001108,"Speaking for a unanimous Court, one Justice being absent, Justice Holmes said: Of course <the plaintiff 's> position is that <he> has been deprived of <his> liberty without due process of law.",1
CA-TGA-00001167,"The cases which occur, of bees stopping in their flight, and clustering again on any convenient object, are not inconsistent with this view of the subject; for if the weather is hot, and the sun shines directly upon them, they will often leave before they have found a suitable habitation; and even when they are on the way to their new home, <the queen> being heavy with eggs, and unaccustomed to fly, is sometimes from weariness, compelled to alight, and <her> colony clusters around <her>.",0
CA-TGA-00001371,"<The student> should practice privately with the assistance of a few friends, before <he> ventures before a parlor audience, for by so doing <he> overcomes the first lack of confidence in <himself>, and the awkwardness natural to the beginner along any new line of work.",1
CA-TGA-00000587,"Hyginus, who flourished before Columella, had evidently noticed the royal jelly; for he speaks of cells larger than those of the common bees, filled as it were with a solid substance of a red color, out of which the winged king is at first formed.",0
CA-TGA-00000262,"A depositor, when opening an account with <a bank> is required to place <his> signature in a book kept for the purpose.",1
CA-TGA-00001518,"When <a judge> rules that there is no evidence of negligence, <he> does something more than is embraced in an ordinary ruling that there is no evidence of a fact.",1
CA-TGA-00001496,"<Veil> after veil we have lifted, and <her> face grows more beautiful, august and wonderful with every barrier that is withdrawn.",0
CA-TGA-00000353,<An owner> is not bound at <his> peril to keep <his> cattle from harming <his> neighbor's person.,1
CA-TGA-00000700,"If the temperature of the room is as high as degrees and <the sick person> is cold, it is better to give <her> a hot water bag and to put on more covers than to shut the windows, thus keeping out the fresh air.",1
CA-TGA-00001046,"Perceiving a hive in the very act of swarming, I contracted the entrance so as to secure <the queen> when <she> made <her> appearance.",0
CA-TGA-00000269,<A girl who saves more than <she> spends> may be niggardly; a girl who spends more than <she> saves may go in debt.,0
CA-TGA-00000407,"<Burdick>, nevertheless, refused to accept the pardon and persisted in <his> contumacy with the unanimous support of the Supreme Court.",0
CA-TGA-00000476,"Directly <the instructor> sees a scout, <he> directs <him> to stand up as having failed.",0
CA-TGA-00000939,"<Make> the required athletic standard according to <his> weight, classifications and conditions as stated in chapter eight.",1
CA-TGA-00001102,"<Some Bee Keepers>, long before <his> time, had observed that all the brood in a hive were occasionally drones, and of course, that such colonies rapidly went to ruin.",1
CA-TGA-00000938,"<Loyalty Loyalty> is another scout virtue which must stand out prominently, because it is that which makes <him> true to <his> home, <his> parents, and <his> country.",1
CA-TGA-00001008,"On one occasion, in order to be doubly guarded against collusion, they closed <Mr Smith 's> ears with putty, tied a bandage around <his> eyes and ears, pulled a bolster case over <his> head, and then covered him all over with a blanket which completely enveloped <his> body and head.",0
CA-TGA-00000146,"In <his> dictum in Cohens v. Virginia, <Chief Justice Marshall> also indicated that perhaps no jurisdiction existed over suits by States to enforce their penal laws.",0
CA-TGA-00000429,"But just as we have seen that the executor is still said to represent the person of <his> testator, <the heir> was said to represent the person of <his> ancestor in the time of Edward I.",1
CA-TGA-00001577,"The more direction <an actor> gets, the worse <he> performs.",1
CA-TGA-00001400,Then the words of <the Great Spirit> came to <him> again.,0
